sample_id,delta_T_trend_C,COP_cool,margin_year_kwh,pass_flag
1,1.6547912097111928,2.881156434865495,382913.4921836492,1
2,1.5877756879504104,3.251065137309333,389391.9860239607,1
3,1.6717195839822765,3.16877642125891,387605.15931862214,1
4,1.6394736058118728,2.7663530465976667,380836.07201214955,1
5,1.51883546957753,3.2982207947025444,390513.87706796447,1
6,1.6951244703273511,3.2275200145846474,388325.3917104448,1
7,1.6522279403980706,2.8703450627184237,382733.48252514703,1
8,1.6572128610553907,3.202137947796563,388207.2897203616,1
9,1.5256227265351092,2.76385171912283,381687.08818513935,1
10,1.5900771875791133,3.2994628382845432,390058.77850912,1
11,1.5741596048465163,3.0994108416639223,387212.91835184,1
12,1.6853529977697204,3.0900750093352785,386278.9041397651,1
13,1.6287730240161329,2.75426443619048,380679.4029603528,1
14,1.6645523226541659,3.2382200393379756,388689.02860491973,1
15,1.5886828397654662,2.7173997019226817,380253.05095061864,1
16,1.5454477443569554,2.8444968348246884,383071.39683989825,1
17,1.610916957403167,2.785813125099981,381444.8236784097,1
18,1.512763451220835,3.1660607644153314,388661.69885457895,1
19,1.6655262343985164,2.818922536327739,381660.63977724075,1
20,1.626332879824413,3.2463829362785317,389065.1804203505,1
21,1.6516175480170747,3.0937614235964945,386576.49060916674,1
22,1.5709051936259737,2.7216976262968178,380483.7544801232,1
23,1.6941396048789805,2.7032579004772206,379108.84497375146,1
24,1.6786242242644396,2.7309947502086396,379809.77587664145,1
25,1.6556766994147523,3.0635551065886366,386061.289768879,1
26,1.5389277415703935,3.1808890865156494,388701.99050409906,1
27,1.5933442007454068,2.843131692376433,382677.6251138514,1
28,1.5087607531574458,3.209645305753844,389330.2919290996,1
29,1.5308578984135095,2.7343391640919563,381060.19351660734,1
30,1.6366097906484909,3.180578312185006,388025.73747724446,1
31,1.6489524311815633,3.2566772581033687,389061.29654741293,1
32,1.693501946486842,3.1632650394626287,387370.4388053667,1
33,1.5651650716276304,3.1188724703871826,387579.7272425594,1
34,1.5740919412069738,3.20278813119323,388784.5391769528,1
35,1.5939111622551616,2.72409077972824,380347.73564030015,1
36,1.5378942718168571,2.8210692664314334,382691.31708531996,1
37,1.5259843010670944,2.774954207583386,381901.10206406517,1
38,1.5951409852451868,3.002718594115792,385492.63374918484,1
39,1.545381869810177,3.147112876997307,388150.7032090106,1
40,1.633962798936502,3.078007106745839,386449.5256902579,1
41,1.587430383774466,3.2106786598571615,388809.45087930164,1
42,1.6665356392115673,2.7931277954646547,381151.92570218985,1
43,1.6400530204004498,3.140772655161097,387395.1398610466,1
44,1.5624733282764083,2.8158248945213424,382401.35139017174,1
45,1.6664519602790402,2.8624552507906804,382478.2942858486,1
46,1.6609528714993602,3.1259428183687827,387018.8577368125,1
47,1.5774956758060348,3.288122870939209,389984.3979812239,1
48,1.5576656207860489,3.066926163586242,386814.9453045753,1
49,1.6364991007949952,2.7327001889947775,380181.8963049829,1
50,1.527950496721862,3.0697853819565197,387072.33284924715,1
51,1.5399816404950217,2.7254103309481006,380807.35841712187,1
52,1.5014724539502011,3.2304874268200905,389680.01551770046,1
53,1.6573848755004277,3.125746971060373,387040.75931357907,1
54,1.6329701713184064,2.8038767078535023,381623.5693922856,1
55,1.641033075725267,2.755032603494519,380597.47671190364,1
56,1.6561458062043934,2.8101199373281918,381563.77083834464,1
57,1.591783155107668,3.2880163077325157,389887.88055845356,1
58,1.6137482391905786,2.975136385475094,384888.6290177199,1
59,1.5279593996255314,3.170448569004845,388622.2497267072,1
60,1.5229060147071947,3.0818450052646664,387299.15530764224,1
61,1.6336805923580944,3.0434478899751825,385890.144651902,1
62,1.5942192412286265,2.78707815279903,381600.5580970646,1
63,1.6130472212962377,3.267614672134857,389458.3475571297,1
64,1.6529997714832052,2.8808055795088308,382920.63973141625,1
65,1.6269436640001183,3.0468103294845257,385993.6803890725,1
66,1.610715880131599,3.11986556675344,387275.8088963162,1
67,1.6118414321490826,3.089539893147186,386790.6659148511,1
68,1.5607900196125224,3.2643566458173114,389762.09724589693,1
69,1.5061635669135878,2.789063393952035,382329.62213391054,1
70,1.5873434778464723,3.0050116430681655,385587.8381444785,1
71,1.5429169345639058,2.94242063444446,384848.0041496808,1
72,1.5817057287449272,2.984501237689571,385283.4589080322,1
73,1.6706806146536333,2.771530515718647,380692.67099983554,1
74,1.5467878971730682,2.780456765923659,381844.3311617645,1
75,1.5116605483378132,2.8668453274687544,383740.86388498836,1
76,1.5562767784043994,2.882822762256499,383691.44976133667,1
77,1.5587187515533367,2.9567419282088103,384978.3592886502,1
78,1.632383302945379,3.0665925282219773,386276.761381468,1
79,1.6114064304682556,3.080777470450958,386654.1047601057,1
80,1.6567796418212826,2.9470865379513422,384083.88556368137,1
81,1.6328627080654774,2.9452698656572185,384229.52086211304,1
82,1.581277372288014,2.830577116018177,382534.8407238306,1
83,1.6628040769332069,3.052983749045405,385837.69632035936,1
84,1.5333945839815408,2.890224546790343,383998.2593632608,1
85,1.504542414626772,2.7216359005664184,381015.7135133438,1
86,1.5180095721551283,2.9510400264941166,385181.65415481495,1
87,1.64447187011929,2.9844796050541023,384823.15940329095,1
88,1.5923754460502775,2.835355720922527,382539.16255949566,1
89,1.5322543558067203,3.04347475987327,386619.3853399942,1
90,1.6002089550206726,3.0394631402591528,386065.4286774479,1
91,1.5304624205426336,3.121201308666223,387858.9107122445,1
92,1.6392640750155472,3.088769089320726,386584.25249073806,1
93,1.589231255114806,3.0914598339126194,386981.1064291281,1
94,1.5762042452192966,2.889728491094426,383665.38576845615,1
95,1.5603024178295752,3.1724593331915725,388429.2659906785,1
96,1.6260565186237776,3.029486630159808,385714.7602598615,1
97,1.572362522110678,2.9588509171079345,384913.8077356183,1
98,1.5175299838632201,3.0756074885646347,387238.8341470543,1
99,1.523601180424103,2.9163944006701525,384537.33381605695,1
100,1.692379532909903,3.007643546764055,384868.10903450224,1
101,1.6817161381415213,3.1420234130893325,387124.456487002,1
102,1.63994142676215,3.231841732034225,388762.4124422809,1
103,1.553173992291904,3.2526343183771154,389647.06042693113,1
104,1.6938352754695447,3.00217975510986,384764.64807461994,1
105,1.655750180793159,3.0121650688443418,385210.6397183292,1
106,1.643378037831799,3.179922246458302,387969.3148055564,1
107,1.5898723004287576,2.888670415046521,383542.7792088774,1
108,1.5544483123690318,3.2024294174070413,388913.404271216,1
109,1.5192781924307,2.9964849879104545,385941.4410738646,1
110,1.6805204793087682,2.769514034601161,380574.781620066,1
111,1.5911552579667223,2.7432354882437666,380757.3277329046,1
112,1.540472672959046,3.205195926623678,389049.3027110853,1
113,1.5611913248301306,2.733340750144127,380797.483644119,1
114,1.615843913788379,2.868366861680194,382974.22716595675,1
115,1.5353545565878464,2.9004780243009276,384166.9244117982,1
116,1.671322856818475,2.8037966671149563,381322.87180845585,1
117,1.651703905967042,2.8883360218811935,383068.55236703897,1
118,1.6438925911901874,3.1456155400350516,387443.10664245265,1
119,1.5864186079550207,2.7088097061360425,380094.89943011495,1
120,1.6254617681404886,3.196304054712412,388337.50366831984,1
121,1.6168195937825471,3.2139288141447353,388657.0807579118,1
122,1.629969320310964,2.923356943914929,383863.930229207,1
123,1.5168888642279779,2.792167739436381,382305.17254691524,1
124,1.5831614804341219,3.0605042447670487,386529.78984306875,1
125,1.5083228347723785,2.771803533518937,381979.0705765408,1
126,1.5987981638489037,2.9189516166469516,384018.9530932896,1
127,1.565972242466557,3.2750575085405838,389878.21085208125,1
128,1.5289048377732093,3.2972786835501826,390434.1317976003,1
129,1.5206805935445102,3.1632629348127517,388565.1955230327,1
130,1.6175289144355425,2.88657690595246,383295.2807125904,1
131,1.5341185937073771,3.1125990294996555,387700.4812669301,1
132,1.6850240236753593,3.123243819290408,386808.0752404735,1
133,1.616212227940079,2.93270501709819,384132.3519864362,1
134,1.5693739609069675,3.084533180751696,387012.06349203293,1
135,1.6181830982962833,2.706436586985406,379789.30226323695,1
136,1.5045607742059395,2.825434595161345,383031.4960841873,1
137,1.691711842648289,3.015052981780357,384998.3370107124,1
138,1.59646068738858,2.7982507825549776,381799.80219776265,1
139,1.6565470454500573,2.7995441207259204,381355.4092432648,1
140,1.5165459999844877,3.201782574330143,389162.7820756433,1
141,1.597331666167632,3.2934798016101636,389927.34905037977,1
142,1.5981413988709041,3.033581656817069,385983.73474679026,1
143,1.6875652909949965,3.203441838529028,388019.4862486437,1
144,1.614345610475215,3.2941929985957636,389824.34811814665,1
145,1.5946978802113907,2.784957533141265,381555.460643759,1
146,1.5533951326183788,2.968947367952611,385226.870659824,1
147,1.5663137994685103,2.935543629505152,384554.1346369658,1
148,1.6041344804943076,2.748029570187711,380750.2177696399,1
149,1.5877822920610094,3.153198103676847,387948.7680974656,1
150,1.504322415976066,2.960267416393556,385440.8232615574,1
151,1.6652583848388716,2.981596160514241,384621.3087320698,1
152,1.6792321543679534,2.7904037842879443,380998.98287086154,1
153,1.5280498177997222,2.808555991338521,382530.94535332813,1
154,1.61080722870781,3.244262173293729,389139.2290361327,1
155,1.5217151482270888,2.7267894533845674,380981.7064247646,1
156,1.6344480186079624,2.839711370966224,382296.9808076483,1
157,1.5562467567678016,2.875235598188717,383553.9371124869,1
158,1.6318845269383804,2.994118525440952,385079.49719953694,1
159,1.6453989228573764,3.0518671038088776,385944.1066892491,1
160,1.6537294983835313,2.9959739855104,384951.50526679703,1
161,1.5215481891911793,2.7504692007341296,381455.75712993764,1
162,1.6832023690275215,2.8462004724334284,382044.55294048385,1
163,1.5460427981789762,3.206153030857525,389025.2944587698,1
164,1.507482511235236,3.0825532202870756,387419.73329285556,1
165,1.6109704938782967,3.089489430080565,386796.02901083534,1
166,1.5741844567724876,3.1021219532108133,387255.2845466704,1
167,1.6659579486264826,3.1577418114237177,387476.3333984092,1
168,1.6616502944128604,2.7348650890328687,380024.87205984484,1
169,1.563427778564543,2.9199650309595677,384301.86271404906,1
170,1.690579879013949,3.0237164611570075,385152.337209402,1
171,1.5581835676280238,2.903073889978396,384041.2092261791,1
172,1.6030114258463428,3.206687323972312,388644.5884761849,1
173,1.5511930181135205,2.9895435051523767,385592.0162910851,1
174,1.6872087140097927,3.1611765536756278,387381.9210224069,1
175,1.5329215635164035,3.2112093101287016,389188.4387623336,1
176,1.5089821238784658,3.002874889742099,386122.70602659835,1
177,1.5870194120006076,3.24573134632281,389320.67065111647,1
178,1.6984751128111673,3.0522743643221886,385570.48198945355,1
179,1.6783354532509827,3.2101645793002334,388182.61536397086,1
180,1.6497216038913898,2.904354477354915,383374.80539482465,1
181,1.678158498175705,2.999290175118891,384829.70074505586,1
182,1.6786893279395727,3.0188466246027468,385156.6289811157,1
183,1.6037716720772899,2.7629878295376424,381051.6042831987,1
184,1.5631858103661587,2.9391315040209247,384640.075275056,1
185,1.6544024864221976,3.250402603531006,388934.22842009534,1
186,1.6323322526335522,3.0784993442188457,386469.014242868,1
187,1.574731545774742,2.8065039494621806,382128.18826449226,1
188,1.518893333612303,2.9033133813657632,384341.42187216424,1
189,1.6493579222698052,2.81496180579762,381709.9493267344,1
190,1.5524921031845729,2.7148938790791437,380493.22059542884,1
191,1.687362630106756,3.2564762751024166,388800.4560477634,1
192,1.548194115001137,2.9689243969541232,385264.78850064304,1
193,1.5245515864822972,2.8845210434524717,383962.69419459265,1
194,1.6662225344249812,3.059086314934642,385913.1066877735,1
195,1.5306568633248987,2.7043886737758096,380454.59313680785,1
196,1.535853661631548,2.8668132639604886,383555.73915778456,1
197,1.6198765583041688,3.1218200794193356,387242.0715070588,1
198,1.6749124081674929,3.080261863841558,386194.9795722831,1
199,1.5392869331429146,3.2890835685255215,390251.8480196055,1
200,1.562064734580019,3.072214625794827,386868.10835130484,1
201,1.6554809676482356,2.98650352417664,384777.14979923115,1
202,1.6943652852121933,3.156859537910405,387266.0084820363,1
203,1.6001482372404685,3.241996723178432,389178.4625358936,1
204,1.5287795005102502,3.1324175680310113,388042.6438440981,1
205,1.5027872575416403,3.277926734129628,390340.009129369,1
206,1.545931205999771,3.1692031024429066,388479.66784437594,1
207,1.5263644435573043,3.2200808629571562,389361.63399169,1
208,1.6355317347225715,2.7684624427101827,380909.15831701923,1
209,1.5243665009257061,3.139448101796273,388180.532153529,1
210,1.6012659863241265,2.9640532197164213,384790.02242667833,1
211,1.6388524871285772,3.0318622814467653,385661.77565301425,1
212,1.6162233218441804,3.0924614456894144,386806.0634887784,1
213,1.5399551303320116,3.281889070023342,390147.34893846227,1
214,1.6608249052364525,3.290746848858975,389467.21815971885,1
215,1.6430814259231603,2.8729369472927435,382851.06401823927,1
216,1.6477968007831083,3.1402520984627498,387333.1714900949,1
217,1.5262115503114626,3.1499901227611615,388327.39157747186,1
218,1.524750760730069,2.9078957167878294,384378.60482364096,1
219,1.6855125102013016,2.774321864918533,380631.2900498041,1
220,1.579515638764988,2.724568176171432,380473.01696082234,1
221,1.560189738356188,3.1664058765175076,388339.31023900025,1
222,1.5977168090703067,2.993819845090144,385324.01841291046,1
223,1.6325728425527164,3.291324101696956,389663.0828271181,1
224,1.6911246514093938,2.978984073716192,384386.46411482355,1
225,1.557289245376411,3.286750187444304,390099.6710284041,1
226,1.6849616858624055,2.946945601316436,383872.26761030697,1
227,1.5049718982772513,3.1762092903359838,388866.24420290615,1
228,1.6110396084653649,2.7508915633870994,380752.6889784741,1
229,1.626795022336217,3.0332770260826587,385772.1347702351,1
230,1.5211794807501506,3.1812358721914347,388829.1349258151,1
231,1.5280679194127824,3.2548210003319333,389846.8052178746,1
232,1.5838228638632608,3.1935498543704592,388581.6365175768,1
233,1.6932463824286363,2.7221824363207046,379510.760854009,1
234,1.6192085106468745,2.9236214047840408,383949.12990383565,1
235,1.6866046443200422,2.729219083388311,379709.341741942,1
236,1.660872183122594,2.765569374668735,380651.2569826888,1
237,1.5934763203110582,3.1051833772004906,387167.36404252576,1
238,1.6569526898504374,3.127954917787019,387078.26235866,1
239,1.5035673567953975,3.164232409650976,388697.96260763064,1
240,1.521828799353147,3.219273928833398,389380.78072135523,1
241,1.6658857229765471,3.1436588810859063,387259.95350043866,1
242,1.6593634176650323,3.1805229552639793,387868.44936149026,1
243,1.5465281483932867,2.7293782258939676,380834.9855662275,1
244,1.6061539181198108,2.8407210902647795,382533.8536221192,1
245,1.6212031641400022,3.073138664025148,386462.004324587,1
246,1.673547790755202,3.214875182774894,388285.08693011943,1
247,1.6206214314677452,2.7027000749637957,379692.01240330917,1
248,1.582514313854736,3.00877760526981,385685.9000692252,1
249,1.5748368086814366,3.1063724396186387,387317.2392932735,1
250,1.585176417274702,2.717764373477168,380288.73197527515,1
251,1.6303862051159947,2.940813334532033,384169.6509833224,1
252,1.673498126350465,3.2373809288302184,388616.36297351663,1
253,1.59077937641526,3.1029676853135153,387151.58128657646,1
254,1.5495679125902717,2.8425950180163584,383004.3627166847,1
255,1.5473324725995161,3.211668677779148,389096.9974342997,1
256,1.6492028560486893,2.908818854045709,383459.3041738863,1
257,1.663313752684782,3.212006802686436,388312.2550035938,1
258,1.521055615970825,2.8793661906713437,383896.2808818808,1
259,1.5133117713910356,3.0541921505298895,386927.90558686166,1
260,1.6188867327512904,2.938164040648701,384208.6089545641,1
261,1.5292346488385395,2.8648950304530403,383571.2207221829,1
262,1.6649328380912682,3.231934537303122,388594.65711182286,1
263,1.5620669347848148,2.812556209163695,382342.34819570294,1
264,1.5287743865942285,2.750886954741458,381406.58036511653,1
265,1.68419409449749,2.9051561631273963,383129.79510303156,1
266,1.5331063445470556,3.1305834885849406,387984.3884499409,1
267,1.5569440164675872,3.184458963585769,388631.1693481484,1
268,1.5307226790384116,3.2992460220400592,390449.18823869823,1
269,1.5230980127330709,2.877817234206699,383852.77633451315,1
270,1.504229603267288,2.9447651706787696,385175.93166450795,1
271,1.5110790818328521,2.782092766817776,382156.7885771957,1
272,1.5349282941871705,3.0449231577738205,386623.6187959148,1
273,1.5106763865254351,3.2985480223577506,390572.4689223564,1
274,1.618228763222194,3.120528606072395,387233.48611400276,1
275,1.6361429053599013,3.0571277042480234,386096.2653324113,1
276,1.5787260913664056,2.9354214557530764,384459.5269800869,1
277,1.5635982193904099,3.2491792561713333,389527.727223708,1
278,1.600905247404446,2.99814995767821,385373.7912390281,1
279,1.6750009884469217,2.780620147987837,380839.1267855335,1
280,1.6702263253644412,2.9192270779194804,383488.74262516067,1
281,1.5086950124025584,2.7403000013086602,381356.3217964141,1
282,1.5362996819193049,2.821187422613269,382705.90513770893,1
283,1.5473489742208792,2.7106012685999477,380446.9859432526,1
284,1.5498775151664423,2.9719679499000984,385304.2460037698,1
285,1.6142465303485545,3.0807241589710785,386633.0914553172,1
286,1.5832524851406384,2.905975477427345,383904.32418644923,1
287,1.5098508239855188,2.9522290629031667,385262.51046083466,1
288,1.5747228276919143,3.2755255637067457,389826.36357606,1
289,1.6047505897435275,3.1511778729449498,387800.27154935506,1
290,1.5203343805807432,3.024513982166971,386396.6901580608,1
291,1.666691710757712,2.870724525067095,382630.3226530422,1
292,1.510392373293021,3.2381980792637974,389729.8118796391,1
293,1.6849683738036123,2.841058270128396,381933.5010448267,1
294,1.519822628315975,2.8952056383100064,384190.04649539076,1
295,1.6687149903195504,3.2454388886537693,388765.96748005523,1
296,1.6805306287855233,3.017725233171044,385124.4325460485,1
297,1.6959141361173184,3.145390769650786,387077.9466317931,1
298,1.6604051760547187,3.0544468764982597,385878.8478852097,1
299,1.6558955081542657,3.092063525405697,386519.1549157933,1
300,1.6284966551991096,2.8796299749088954,383085.104731443,1
301,1.6557992709156257,2.844823236975998,382229.1452492111,1
302,1.5269104416826293,2.8934954083011992,384105.92256811465,1
303,1.6072136071895273,2.793264938450054,381619.0657611368,1
304,1.6028445740380828,3.224588619174485,388908.0020000402,1
305,1.6715144288245114,2.8699481599500687,382579.16530704725,1
306,1.5925598731187032,3.0368936366486308,386078.35538687673,1
307,1.5770178992200707,3.175184655084825,388354.87679472164,1
308,1.627912654247422,3.170294465625428,387930.47007141,1
309,1.5532926635001691,2.963031755150516,385126.4796710476,1
310,1.5279536821907913,2.9857543851520356,385698.39065596083,1
311,1.5955754548047492,3.2968210493610153,389985.58073092013,1
312,1.583377873718977,3.1047584861874147,387231.8281633408,1
313,1.5465139881057748,3.1887830658707297,388766.78222924285,1
314,1.5735023620230255,3.2415323815315396,389351.54047317395,1
315,1.5732784899652494,3.172553901737604,388341.23587943026,1
316,1.565499112882509,2.811107606972141,382288.05430915364,1
317,1.5758928159453858,3.0373024402425437,386205.06710573455,1
318,1.637148669091189,2.7611364943887273,380750.4747066217,1
319,1.559375294914257,3.0917532759383994,387196.9291755962,1
320,1.6897715853430681,3.273209656912687,389025.09251659695,1
321,1.6832696039076356,3.007639238580067,384934.27692490653,1
322,1.5961820856600157,2.9597834957206604,384753.8710891628,1
323,1.5656722410009378,2.721505650850898,380521.89540651196,1
324,1.6070869579660005,3.2758647133975325,389615.0723862849,1
325,1.6697120977547248,2.7618016104780954,380505.89901442477,1
326,1.6305174681120205,2.7246474559829084,380065.2623729234,1
327,1.6608783655894155,2.847639966902963,382243.21682990727,1
328,1.606544455213148,2.7393182603510295,380555.6280556019,1
329,1.6265835258535242,2.9730707054470575,384758.7792307038,1
330,1.5576311228364923,3.0096526807542676,385881.3040031232,1
331,1.6469786324620581,2.8875419694171507,383089.8147973654,1
332,1.5404809186251436,2.7305762895449317,380907.5701646379,1
333,1.6389596257636996,2.766960220949536,380852.21524750546,1
334,1.6721438136651787,2.930702626793957,383679.6173453138,1
335,1.5264205674603089,2.7363170704959217,381135.2878156268,1
336,1.6228759481083839,3.1189138353659485,387175.7095423359,1
337,1.5190191496459868,2.824212324914887,382896.6699856236,1
338,1.6451431256542852,2.8812429412701834,382988.3143687613,1
339,1.516898643764704,2.9364754663068586,384938.42067630944,1
340,1.687187964540125,2.949965779841489,383909.0188592406,1
341,1.5274815860075603,2.7009964246048805,380410.67807901785,1
342,1.6917760491818161,2.7672422225992186,380440.41740688856,1
343,1.6601768352170194,3.217658738244527,388417.14744286874,1
344,1.6187364008932708,2.700739837507145,379666.4873405993,1
345,1.6565248209259094,3.004900413487725,385082.4797627022,1
346,1.659022967796617,2.993701203904325,384874.1639203355,1
347,1.689205412563466,2.899856496606383,382995.5797223443,1
348,1.5506766707678374,2.95879621208787,385073.1463864855,1
349,1.6180151790716617,3.168348682515951,387969.333722374,1
350,1.5190098395128802,3.2047222237289743,389188.8320289284,1
351,1.6232331400048243,2.8562091260491504,382692.40877265675,1
352,1.5342582608185578,2.8934942645806383,384050.3708477275,1
353,1.6129901222944882,2.8454897118169997,382570.72975100647,1
354,1.6144861028067699,2.9879180403306393,385101.400346822,1
355,1.5931970305962455,3.109955014595288,387244.08345531224,1
356,1.6045263551026245,2.8369517252780527,382475.5077815497,1
357,1.6527846780013176,2.8984414452329204,383244.55925655004,1
358,1.6598489433024133,3.2582307705534905,389010.48621922097,1
359,1.5984306431150859,2.729141573908175,380414.3108952891,1
360,1.6199186883045225,2.97646176314374,384866.0020409434,1
361,1.6862472471380203,3.126934824958067,386857.4558326059,1
362,1.5239467177002246,2.7902724069344846,382213.4613328045,1
363,1.5234207131800221,2.7284244120032892,381000.9394588625,1
364,1.5175418023821536,2.7829232229831184,382122.0404375212,1
365,1.6315726570081055,3.25129391611841,389100.6629236529,1
366,1.583721660158076,2.705555869092674,380049.59748181276,1
367,1.6548642832283686,2.8129931848868113,381629.2236947852,1
368,1.6342462826617186,2.718770107740987,379914.58852061763,1
369,1.5667275516656476,2.7663776805373224,381411.64887728414,1
370,1.679673309472307,3.072089571976978,386028.8909422686,1
371,1.6525064294141305,2.8449833452434516,382257.47725635837,1
372,1.554106988182035,3.0415272302584064,386430.7212890023,1
373,1.5728384035544107,3.054117229659676,386500.48301470064,1
374,1.5628879960408526,3.2096611998538678,388961.74561192124,1
375,1.531522329725,2.7028448357471246,380415.92693409097,1
376,1.5295566745084384,3.2120216756054205,389223.15856036043,1
377,1.6872254926751489,3.0714714518561848,385965.08373966167,1
378,1.5875808074397506,2.797646091662975,381857.52578069613,1
379,1.5766639645554819,3.1637624328811706,388185.7064983581,1
380,1.6459371417354756,3.2132949250743517,388449.5913971474,1
381,1.61059861305058,2.8525580902524945,382721.18440261413,1
382,1.6872279973676925,3.2512762085416087,388726.047229829,1
383,1.6560602987818784,2.972674458179195,384535.1083320979,1
384,1.595873912824908,3.0620546725999933,386463.98943542514,1
385,1.5752718946961652,3.2907897201705865,390036.377867549,1
386,1.6973263089848643,2.91692164718352,383244.1463025402,1
387,1.6435520472007288,3.187895607492068,388087.9768494074,1
388,1.6902389320007682,2.891039470697076,382826.44588661427,1
389,1.5236957154434083,3.1795281133448947,388786.55237310694,1
390,1.6701067358381565,3.0604403513175855,385907.46209225245,1
391,1.6274147767982414,2.829813417135241,382163.8813208968,1
392,1.5243843356670226,2.948415656273542,385089.2390947962,1
393,1.6176515999938441,2.890581380618137,383367.2145254138,1
394,1.6372192730210897,2.7468650358482187,380463.4335505768,1
395,1.5024605371777207,2.717900862059819,380957.05380191945,1
396,1.5908635923683492,2.9078871932443087,383881.25966282765,1
397,1.6650799022392642,2.711420488690492,379514.1672262885,1
398,1.559071805068818,2.799292654549065,382112.0289902946,1
399,1.5917096163597102,3.1351099925105217,387644.7749718808,1
400,1.5884628254135786,3.124854741410153,387509.1655170815,1
