datetime_local,T_out_baseline_C,T_out_2040_C
2014-06-17 00:00:00,29.09,30.59
2014-06-17 01:00:00,29.03,30.53
2014-06-17 02:00:00,28.93,30.43
2014-06-17 03:00:00,28.86,30.36
2014-06-17 04:00:00,28.83,30.33
2014-06-17 05:00:00,28.81,30.31
2014-06-17 06:00:00,29.23,30.73
2014-06-17 07:00:00,29.2,30.7
2014-06-17 08:00:00,29.21,30.71
2014-06-17 09:00:00,29.26,30.76
2014-06-17 10:00:00,29.3,30.8
2014-06-17 11:00:00,29.37,30.87
2014-06-17 12:00:00,29.37,30.87
2014-06-17 13:00:00,29.33,30.83
2014-06-17 14:00:00,29.36,30.86
2014-06-17 15:00:00,29.37,30.87
2014-06-17 16:00:00,29.15,30.65
2014-06-17 17:00:00,28.76,30.26
2014-06-17 18:00:00,29.51,31.01
2014-06-17 19:00:00,29.57,31.07
2014-06-17 20:00:00,29.55,31.05
2014-06-17 21:00:00,29.21,30.71
2014-06-17 22:00:00,28.98,30.48
2014-06-17 23:00:00,28.87,30.37
2014-06-18 00:00:00,28.64,30.14
2014-06-18 01:00:00,28.27,29.77
2014-06-18 02:00:00,27.23,28.73
2014-06-18 03:00:00,27.26,28.76
2014-06-18 04:00:00,27.75,29.25
2014-06-18 05:00:00,27.88,29.38
2014-06-18 06:00:00,26.52,28.02
2014-06-18 07:00:00,26.09,27.59
2014-06-18 08:00:00,26.32,27.82
2014-06-18 09:00:00,26.69,28.19
2014-06-18 10:00:00,27.16,28.66
2014-06-18 11:00:00,27.69,29.19
2014-06-18 12:00:00,27.8,29.3
2014-06-18 13:00:00,27.93,29.43
2014-06-18 14:00:00,28.01,29.51
2014-06-18 15:00:00,28.19,29.69
2014-06-18 16:00:00,28.32,29.82
2014-06-18 17:00:00,28.5,30.0
2014-06-18 18:00:00,28.49,29.99
2014-06-18 19:00:00,28.69,30.19
2014-06-18 20:00:00,28.8,30.3
2014-06-18 21:00:00,28.86,30.36
2014-06-18 22:00:00,28.74,30.24
2014-06-18 23:00:00,28.52,30.02
2014-06-19 00:00:00,28.66,30.16
2014-06-19 01:00:00,28.75,30.25
2014-06-19 02:00:00,28.62,30.12
2014-06-19 03:00:00,28.66,30.16
2014-06-19 04:00:00,28.65,30.15
2014-06-19 05:00:00,28.77,30.27
2014-06-19 06:00:00,28.12,29.62
2014-06-19 07:00:00,28.27,29.77
2014-06-19 08:00:00,28.39,29.89
2014-06-19 09:00:00,28.58,30.08
2014-06-19 10:00:00,28.68,30.18
2014-06-19 11:00:00,28.84,30.34
2014-06-19 12:00:00,28.97,30.47
2014-06-19 13:00:00,29.08,30.58
2014-06-19 14:00:00,29.21,30.71
2014-06-19 15:00:00,29.26,30.76
2014-06-19 16:00:00,29.31,30.81
2014-06-19 17:00:00,29.36,30.86
2014-06-19 18:00:00,29.64,31.14
2014-06-19 19:00:00,29.73,31.23
2014-06-19 20:00:00,29.8,31.3
2014-06-19 21:00:00,29.83,31.33
2014-06-19 22:00:00,29.65,31.15
2014-06-19 23:00:00,29.53,31.03
2014-06-20 00:00:00,29.28,30.78
2014-06-20 01:00:00,28.87,30.37
2014-06-20 02:00:00,28.95,30.45
2014-06-20 03:00:00,29.07,30.57
2014-06-20 04:00:00,29.03,30.53
2014-06-20 05:00:00,28.35,29.85
2014-06-20 06:00:00,29.19,30.69
2014-06-20 07:00:00,29.12,30.62
2014-06-20 08:00:00,29.12,30.62
2014-06-20 09:00:00,29.1,30.6
2014-06-20 10:00:00,29.15,30.65
2014-06-20 11:00:00,29.25,30.75
2014-06-20 12:00:00,29.32,30.82
2014-06-20 13:00:00,29.35,30.85
2014-06-20 14:00:00,29.43,30.93
2014-06-20 15:00:00,29.4,30.9
2014-06-20 16:00:00,29.38,30.88
2014-06-20 17:00:00,29.47,30.97
2014-06-20 18:00:00,29.51,31.01
2014-06-20 19:00:00,29.37,30.87
2014-06-20 20:00:00,29.33,30.83
2014-06-20 21:00:00,29.31,30.81
2014-06-20 22:00:00,29.38,30.88
2014-06-20 23:00:00,29.42,30.92
2014-06-21 00:00:00,29.48,30.98
2014-06-21 01:00:00,29.53,31.03
2014-06-21 02:00:00,29.45,30.95
2014-06-21 03:00:00,29.38,30.88
2014-06-21 04:00:00,29.32,30.82
2014-06-21 05:00:00,29.26,30.76
2014-06-21 06:00:00,29.56,31.06
2014-06-21 07:00:00,29.53,31.03
2014-06-21 08:00:00,29.49,30.99
2014-06-21 09:00:00,29.51,31.01
2014-06-21 10:00:00,29.49,30.99
2014-06-21 11:00:00,29.54,31.04
2014-06-21 12:00:00,29.58,31.08
2014-06-21 13:00:00,29.62,31.12
2014-06-21 14:00:00,29.68,31.18
2014-06-21 15:00:00,29.69,31.19
2014-06-21 16:00:00,29.7,31.2
2014-06-21 17:00:00,29.66,31.16
2014-06-21 18:00:00,30.03,31.53
2014-06-21 19:00:00,29.98,31.48
2014-06-21 20:00:00,29.88,31.38
2014-06-21 21:00:00,29.83,31.33
2014-06-21 22:00:00,29.83,31.33
2014-06-21 23:00:00,29.78,31.28
2014-06-22 00:00:00,29.76,31.26
2014-06-22 01:00:00,29.67,31.17
2014-06-22 02:00:00,29.53,31.03
2014-06-22 03:00:00,29.4,30.9
2014-06-22 04:00:00,29.34,30.84
2014-06-22 05:00:00,29.32,30.82
2014-06-22 06:00:00,29.11,30.61
2014-06-22 07:00:00,29.03,30.53
2014-06-22 08:00:00,28.61,30.11
2014-06-22 09:00:00,28.69,30.19
2014-06-22 10:00:00,28.63,30.13
2014-06-22 11:00:00,28.79,30.29
2014-06-22 12:00:00,28.98,30.48
2014-06-22 13:00:00,29.17,30.67
2014-06-22 14:00:00,29.31,30.81
2014-06-22 15:00:00,29.35,30.85
2014-06-22 16:00:00,29.48,30.98
2014-06-22 17:00:00,29.46,30.96
2014-06-22 18:00:00,29.44,30.94
2014-06-22 19:00:00,29.25,30.75
2014-06-22 20:00:00,29.06,30.56
2014-06-22 21:00:00,28.87,30.37
2014-06-22 22:00:00,28.82,30.32
2014-06-22 23:00:00,28.82,30.32
2014-06-23 00:00:00,28.81,30.31
2014-06-23 01:00:00,28.83,30.33
2014-06-23 02:00:00,28.81,30.31
2014-06-23 03:00:00,28.74,30.24
2014-06-23 04:00:00,28.82,30.32
2014-06-23 05:00:00,28.81,30.31
2014-06-23 06:00:00,29.09,30.59
2014-06-23 07:00:00,29.12,30.62
2014-06-23 08:00:00,29.17,30.67
2014-06-23 09:00:00,29.31,30.81
2014-06-23 10:00:00,29.4,30.9
2014-06-23 11:00:00,29.49,30.99
2014-06-23 12:00:00,29.51,31.01
2014-06-23 13:00:00,29.5,31.0
2014-06-23 14:00:00,29.42,30.92
2014-06-23 15:00:00,29.44,30.94
2014-06-23 16:00:00,29.55,31.05
2014-06-23 17:00:00,29.49,30.99
2014-06-23 18:00:00,30.04,31.54
2014-06-23 19:00:00,30.04,31.54
2014-06-23 20:00:00,30.04,31.54
2014-06-23 21:00:00,30.02,31.52
2014-06-23 22:00:00,29.99,31.49
2014-06-23 23:00:00,29.95,31.45
